Company_Name,Year,Service_Area_Urban_Square_Kilometers,Service_Area_Rural_Square_Kilometers,Service_Area_Total_Square_Kilometers,Winter_Peak_Load_With_Embedded_Generation_kW,Summer_Peak_Load_With_Embedded_Generation_kW,Average_Peak_Load_With_Embedded_Generation_kW,Average_Load_Factor_With_Embedded_Generation_Percentage,Winter_Peak_Load_Without_Embedded_Generation_kW,Summer_Peak_Load_Without_Embedded_Generation_kW,Average_Peak_Load_Without_Embedded_Generation_kW,Average_Load_Factor_Without_Embedded_Generation_Percentage,Primary_Overhead_Circuit_Kilometers_of_Line,Secondary_Overhead_Circuit_Kilometers_of_Line,Total_Overhead_Circuit_Kilometers_of_Line,Primary_Underground_Circuit_Kilometers_of_Line,Secondary_Underground_Circuit_Kilometers_of_Line,Total_Underground_Circuit_Kilometers_of_Line,Total_Primary_Circuit_Kilometers_of_Line,Total_Secondary_Circuit_Kilometers_of_Line,Total_Circuit_Kilometers_of_Line
Alectra Utilities Corporation,2015,1499,391,1890,4201920,5242817,4282087,81.6753092850657,4234473,5296312,4325475,81.6695655391903,,,7060,,,13716,,,20776
Alectra Utilities Corporation,2016,1499,391.6,1890.6,4034751,5492229,4413602,80.3608516687851,4072979,5542551,4454329,80.3660444441558,,,7062,,,13922,,,20984
Alectra Utilities Corporation,2017,1528,391,1919,3945609,4998584,4136923,82.7618981695616,3974286,5053785,4176486,82.6407534155094,,,7039,,,13883,,,20922
Alectra Utilities Corporation,2018,1531,391.6,1922.6,3960503,5400686,4360618,80.7419279698912,3986279,5443049,4388151,80.6193550710273,,,7002,,,14047,,,21049
Alectra Utilities Corporation,2019,1532,391.6,1923.6,4127385,4962217,4110960,82.8452282518076,4150506,5043554,4161932,82.5198262970913,6963,7276,14239,14149,21222,35371,21112,28498,49610
Alectra Utilities Corporation,2020,1532,392,1924,3888603,5597615,4190197,74.8568274166766,3917702,5698865,4237976,74.3652639604553,6979,7207,14186,14192,21100,35292,21171,28307,49478
Alectra Utilities Corporation,2021,1532,391.6,1923.6,3855366,5262425,4160418,79.058950958921,3877088,5348309,4210526,78.7263039588775,7189,7579,14768,14392,22712,37104,21581,30291,51872
Algoma Power Inc.,2015,3,14197,14200,44710,26190,32284,72.2075598300157,44768,26366,32415,72.4066297355254,,,1835,,,14,,,1849
Algoma Power Inc.,2016,3,14197,14200,40592,29413,31617,77.88973196689,40706,29497,31791,78.0990517368447,,,1836,,,14,,,1850
Algoma Power Inc.,2017,3,14197,14200,41832,29095,31376,75.0047810288774,41832,29170,31458,75.2008032128514,,,1836,,,14,,,1850
Algoma Power Inc.,2018,3,14197,14200,44182,34492,35232,79.7428817165362,44260,34493,35288,79.7288748305468,,,1835,,,14,,,1849
Algoma Power Inc.,2019,3,14197,14200,48304,33373,36879,76.3477144749917,48305,33457,36986,76.5676431011282,1835,315,2150,16,,16,1851,315,2166
Algoma Power Inc.,2020,3,14197,14200,44860,36660,36273,80.8582255907267,45182,36661,36561,80.9193926785003,1859,320,2179,19,,19,1878,320,2198
Algoma Power Inc.,2021,3,14197,14200,45245,36402,38653,85.4304343021328,45393,36552,38745,85.354570087899,1859,313,2172,23,0,23,1882,313,2195
Atikokan Hydro Inc.,2015,380,0,380,5905,5811,5352,90.6350550381033,5905,5811,5352,90.6350550381033,,,90,,,2,,,92
Atikokan Hydro Inc.,2016,380,0,380,6745,6118,5703,84.5515196441809,6745,6118,5703,84.5515196441809,,,90,,,2,,,92
Atikokan Hydro Inc.,2017,380,0,380,8634,5417,5434,62.9372249247162,8634,5417,5434,62.9372249247162,,,90,,,2,,,92
Atikokan Hydro Inc.,2018,380,0,380,6256,5948,5713,91.3203324808184,6254,5930,5700,91.1416693316278,,,90,,,2,,,92
Atikokan Hydro Inc.,2019,380,0,380,6295,5437,5356,85.0833995234313,6296,5456,5367,85.2445997458704,90,,90,2,,2,92,0,92
Atikokan Hydro Inc.,2020,380,0,380,5977,5757,5398,90.3128659862807,5983,5776,5547,92.7126859435066,90,,90,2,,2,92,0,92
Atikokan Hydro Inc.,2021,380,0,380,6911,6734,5988,86.644479814788,6912,6749,5999,86.791087962963,90,,90,2,,2,92,0,92
Bluewater Power Distribution Corporation,2015,54,147,201,132997,149532,129516,86.614236417623,135441,162797,134824,82.8172509321425,,,572,,,211,,,783
Bluewater Power Distribution Corporation,2016,96,109,205,129015,164284,135332,82.3768595846218,131401,172923,141500,81.8283282154485,,,568,,,205,,,773
Bluewater Power Distribution Corporation,2017,95,113,208,128331,154393,129324,83.7628648967246,130353,162119,134452,82.9341409705217,,,566,,,209,,,775
Bluewater Power Distribution Corporation,2018,95,113,208,131154,161525,136277,84.3689831295465,133170,173286,142964,82.5017600960262,,,562,,,221,,,783
Bluewater Power Distribution Corporation,2019,95,113,208,135801,151868,126329,83.1834224458082,137680,170007,132656,78.0297281876629,563,,563,210,,210,773,0,773
Bluewater Power Distribution Corporation,2020,95.47,112.83,208.3,126022,155794,126835,81.4119927596698,127557,180626,135904,75.2405523014405,563,375,938,218,53,271,781,428,1209
Bluewater Power Distribution Corporation,2021,95.45,112.82,208.27,124602,157503,128854,81.8105051967264,126004,170132,135895,79.8762137634307,561,374,935,213,57,270,774,431,1205
Brantford Power Inc.,2015,74,0,74,145629,175113,144853,82.7197295460645,151884,186373,147613,79.2029961421451,,,266,,,232,,,498
Brantford Power Inc.,2016,74,0,74,140228,187331,148938,79.5052607416818,150709,197986,151243,76.3907549018617,,,270,,,233,,,503
Brantford Power Inc.,2017,74,0,74,141752,172881,142254,82.2843458795356,152986,186093,154931,83.2546092545125,,,269,,,238,,,507
Brantford Power Inc.,2018,74,0,74,143051,186912,152359,81.5137604862181,155372,200698,165770,82.596737386521,,,270,,,240,,,510
Brantford Power Inc.,2019,74,0,74,146981,183514,146341,79.7437797661214,161078,198461,161385,81.3182438867082,270,,270,245,,245,515,0,515
Brantford Power Inc.,2020,74,0,74,141205,196605,150711,76.6567483024338,153500,211746,165280,78.0557838164593,275,,275,259,,259,534,0,534
Brantford Power Inc.,2021,74,0,74,141937,195098,153571,78.7147997416683,154394,211134,168341,79.7318290753739,300,,300,273,,273,573,0,573
Burlington Hydro Inc.,2015,98,90,188,270992,340352,273502,80.3585699511094,270993,342774,274325,80.0308658182943,,,865,,,671,,,1536
Burlington Hydro Inc.,2016,98,90,188,257037,360232,282900,78.5327233560594,257037,361524,283860,78.517608789458,,,832,,,674,,,1506
Burlington Hydro Inc.,2017,98,90,188,246646,321211,263087,81.9047292900928,246646,323801,263979,81.525072498232,,,855,,,679,,,1534
Burlington Hydro Inc.,2018,98,90,188,257116,351438,277269,78.8955662165161,257116,355047,278472,78.4324328891668,,,853,,,682,0,0,1535
Burlington Hydro Inc.,2019,98,90,188,254447,323414,256490,79.3070182490554,254447,326481,258074,79.0471727298066,852,,852,687,,687,1539,0,1539
Burlington Hydro Inc.,2020,98,90,188,232509,350364,256510,73.2124305008505,232510,353718,257707,72.856625899728,830,,830,683,,683,1513,0,1513
Burlington Hydro Inc.,2021,98,90,188,232515,344659,258878,75.1113419350721,232516,347546,260107,74.8410282379886,832,,832,684,,684,1516,0,1516
Canadian Niagara Power Inc.,2015,73,284,357,93232,94320,79503,84.2907124681934,93938,95654,81390,85.08792104878,,,947,,,81,,,1028
Canadian Niagara Power Inc.,2016,73,284,357,80952,101753,78930,77.5701944905801,81949,103132,80825,78.3704378854284,,,941,,,84,,,1025
Canadian Niagara Power Inc.,2017,73,284,357,76432,88875,72807,81.9206751054852,76498,90331,75546,83.6324185495566,,,942,,,85,,,1027
Canadian Niagara Power Inc.,2018,73,284,357,80586,98015,79846,81.4630413712187,81973,99716,81614,81.8464439006779,,,946,,,92,,,1038
Canadian Niagara Power Inc.,2019,73,284,357,78312,92987,74399,80.0101089399594,82459,94717,77311,81.6231510710855,937,551,1488,101,13,114,1038,564,1602
Canadian Niagara Power Inc.,2020,73,284,357,75663,101774,76354,75.023090376717,77493,103450,78814,76.1855969067182,935,502,1437,100,18,118,1035,520,1555
Canadian Niagara Power Inc.,2021,73,284,357,74013,101104,76708,75.8703908846336,75809,103300,78779,76.2623426911907,913,497,1410,96,20,116,1009,517,1526
Centre Wellington Hydro Ltd.,2015,10,0,10,25467,25540,17389,68.0853563038371,25557,25718,17522,68.1312699276771,,,79,,,72,,,151
Centre Wellington Hydro Ltd.,2016,10.77,0,10.77,24019,27793,23717,85.3344367286727,24020,27885,23784,85.2931683700915,,,80,,,73,,,153
Centre Wellington Hydro Ltd.,2017,11.33,0,11.33,23739,24770,22211,89.6689543802987,24128,25325,22640,89.3978282329714,,,79,,,77,,,156
Centre Wellington Hydro Ltd.,2018,11.33,0,11.33,23915,26524,22975,86.6196652088674,24066,27018,23507,87.0049596565253,,,78,,,78,,,156
Centre Wellington Hydro Ltd.,2019,11.33,0,11.33,24141,24218,21519,88.8553968122884,24541,24861,22105,88.9143638630787,78,,78,81,,81,159,0,159
Centre Wellington Hydro Ltd.,2020,11.33,0,11.33,22135,28899,22814,78.9439080937057,23208,29161,23366,80.1275676417133,78,,78,82,,82,160,0,160
Centre Wellington Hydro Ltd.,2021,11.55,0,11.55,23224,28408,23621,83.1491129259364,23598,29245,24223,82.8278338177466,78,,78,82,,82,160,0,160
Chapleau Public Utilities Corporation,2015,2,0,2,7029,4548,4230,60.179257362356,7029,4548,4230,60.179257362356,,,26,,,1,,,27
Chapleau Public Utilities Corporation,2016,2,0,2,6023,4979,4133,68.6202888925785,6023,4979,4133,68.6202888925785,,,26,,,1,,,27
