,community_name,Latitude,Longitude
0,Hawkesbury,45.610281,-74.6055611
1,Cornwall,45.0184417,-74.728703
2,Collingwood,44.5027226,-80.2172379
3,Brockville,44.5895925,-75.6843332
4,Cobourg,43.9595998,-78.1677784
5,Midland,44.750147,-79.885712
6,Thunder Bay,49.809661,-88.4811791
7,Orillia,44.6092059,-79.4175587
8,Barrie,44.3893113,-79.6901736
9,Norfolk,42.7971532,-80.4538365
10,Ottawa,45.4528793,-75.483733885631
11,Leamington,42.0531166,-82.5996998
12,Chatham-Kent,42.41833,-82.0898417
13,Toronto,43.6534817,-79.3839347
14,Sault Ste. Marie,46.52391,-84.320068
15,Kingston,44.230687,-76.481323
16,Hamilton,43.2560802,-79.8728583
17,Brantford,43.1408157,-80.2631733
18,Guelph,43.5460516,-80.2493276
19,Kitchener-Waterloo,43.4528527,-80.5036847
20,Vaughan,43.7941544,-79.5268023
21,Peterborough,44.3048009,-78.3199496
22,Kawartha Lakes,44.3543748,-78.7482122388097
23,Windsor,42.3167397,-83.0373389
24,Kenora,54.0245941,-89.1618188
25,St. Catharines,43.1579812,-79.2441003
26,Belleville,44.1633264,-77.3852556
27,Timmins,48.477473,-81.330414
28,Oshawa,43.8975558,-78.8635324
29,Whitby,43.87982,-78.9421751
30,Owen Sound,44.5678105,-80.9430094
31,Petawawa,45.8984286,-77.2826645
32,Pembroke,45.8260909,-77.113541
33,New Liskeard,47.508731,-79.6789029
34,North Bay,46.3092115,-79.4607617
35,Mississauga,43.5896231,-79.6443879
36,Sarnia,42.9746137,-82.4065585
37,Sudbury,46.487489,-80.9921545
