measurements,Marathon Airport,Terrace Bay,Attawapiskat Airport,Montréal-Mirabel Int'l Airport,Moose Creek Wells,Saint-Anicet,Algonquin Park East Gate,Algonquin Park East Gate,Algonquin Park East Gate,Welland-Pelham,Kemptville,Erieau,Atikokan,Fort Frances,Atikokan,Collingwood,Upsala,Goderich,Goderich,Brockville,Grenadier Island,Ogoki Post Airport,Lansdowne House Airport,Lansdowne House Airport,Mount Forest,Mount Forest,Mount Forest,Mount Forest,Mono Centre,Mount Forest,Cobourg,Nagagami,Nagagami,Collingwood,Bancroft,Bancroft,Bancroft,Bancroft,Bancroft,London Int'l Airport,London Int'l Airport,London Int'l Airport,London Int'l Airport,London Int'l Airport,Burlington Lift Bridge,Burlington Lift Bridge,Peawanuck Airport,Armstrong Airport,Thunder Bay Airport,Lake Simcoe Regional Airport,Lake Simcoe Regional Airport,Cameron Falls,Cameron Falls,Tobermory,Delhi,Delhi,Delhi,Ear Falls,Egbert,Ottawa Macdonald-Cartier Int'l Airport,Harrow AAFC,Kemptville,Kemptville,Kemptville,Kirkland Lake,Parry Sound Harbour,Parry Sound Harbour,Chatham-Kent,Ridgetown,Toronto Pearson Int'l Airport,Vineland Station,Vineland Station,Sault Ste. Marie Airport,Egbert,Fort Severn Airport,Armstrong Airport,Kingston Airport,Kingston Airport,Kingston Airport,Kingston Airport,Geraldton Airport,Geraldton Airport,Dryden Airport,Hamilton Munro Int'l Airport,Hamilton Munro Int'l Airport,Brantford Municipal Airport,Guelph Turfgrass Institute,Region of Waterloo Int'l Airport,Region of Waterloo Int'l Airport,King City North,Toronto Buttonville Municipal Airport,Toronto Buttonville Municipal Airport,Chapleau Airport,Moosonee Airport,Moosonee Airport,Ottawa Macdonald-Cartier Int'l Airport,Pickle Lake Airport,Peterborough Municipal Airport,Uxbridge,Peterborough Municipal Airport,Peterborough Municipal Airport,Muskoka Airport,Muskoka Airport,Muskoka Airport,Muskoka Airport,Muskoka Airport,Muskoka Airport,Windsor Airport,Kenora Airport,Kenora Airport,Toronto Pearson Int'l Airport,Thunder Bay Airport,Thunder Bay Airport,Red Lake Airport,Red Lake Airport,Greater Sudbury Airport,St. Catharines / Niagara District Airport,St. Catharines / Niagara District Airport,Big Trout Lake Airport,Big Trout Lake Airport,Big Trout Lake Airport,CFB Trenton,CFB Trenton,CFB Trenton,CFB Trenton,CFB Trenton,Timmins Victor Power Airport,Timmins Victor Power Airport,Oshawa Executive Airport,Oshawa Executive Airport,Oshawa Executive Airport,Wiarton Airport,Wiarton Airport,Wiarton Airport,Wiarton Airport,Wiarton Airport,Pembroke,Pembroke,Pembroke,Pembroke,Sarnia Chris Hadfield Airport,Sioux Lookout Airport,Sioux Lookout Airport,Earlton Airport,Earlton Airport,Wawa Airport,Wawa Airport,Lake Superior Provincial Park,Wawa Airport,North Bay Airport,North Bay Airport,Toronto Buttonville Municipal Airport,Kapuskasing Airport,Toronto City Centre Airport,Toronto Pearson Int'l Airport,Toronto Pearson Int'l Airport,Toronto Pearson Int'l Airport,Gore Bay-Manitoulin Airport,Sarnia Chris Hadfield Airport,Mono Centre,Dryden Airport,Sandy Lake Airport,Greater Sudbury Airport
bearing,60.0,,40.0,62.0,74.2,31.4,136.8,136.8,136.8,175.3,89.0,177.4,18.2,300.6,18.2,154.6,7.7,171.7,171.7,159.5,190.6,40.0,30.0,30.0,182.2,182.2,182.2,182.2,181.3,182.2,91.4,27.4,27.4,154.6,133.4,133.4,133.4,133.4,133.4,176.0,176.0,176.0,176.0,176.0,180.6,180.6,40.0,30.0,355.0,152.1,152.1,2.7,2.7,151.6,215.0,215.0,215.0,49.8,,91.0,209.6,89.0,89.0,89.0,98.9,,,210.0,203.4,143.0,175.7,175.7,67.0,,20.0,30.0,129.0,129.0,129.0,129.0,30.0,30.0,40.0,199.0,199.0,175.1,168.7,170.0,170.0,154.8,150.0,150.0,33.0,40.0,40.0,91.0,40.0,150.0,162.9,150.0,150.0,140.0,140.0,140.0,140.0,140.0,140.0,210.0,318.0,318.0,143.0,355.0,355.0,35.0,35.0,117.0,180.0,180.0,50.0,50.0,50.0,30.0,30.0,30.0,30.0,30.0,60.0,60.0,110.0,110.0,110.0,173.0,173.0,173.0,173.0,173.0,123.3,123.3,123.3,123.3,190.0,45.0,45.0,90.0,90.0,25.0,25.0,,25.0,113.0,113.0,150.0,41.0,100.0,143.0,143.0,143.0,150.0,190.0,181.3,40.0,30.0,117.0
condition,,,Light Snow,Cloudy,,,,,,,,,,,,,,,,,,Cloudy,Light Snow,Light Snow,,,,,,,,,,,,,,,,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,,,Light Snow,Light Snow,Light Snow,,,,,,,,,,,Mist,,,,,,,,Light Rain,,Cloudy,,,Light Rain,,Light Snow,Light Snow,Light Rain,Light Rain,Light Rain,Light Rain,Light Snow,Light Snow,Light Snow,Light Rain,Light Rain,,,Light Rain,Light Rain,,,,Light Snow,Cloudy,Cloudy,Mist,Light Snow,Light Rain,,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Snow,Light Snow,Cloudy,Light Snow,Light Snow,Light Snow,Light Snow,Light Rain and Snow,Light Rainshower,Light Rainshower,Light Snow,Light Snow,Light Snow,Light Rainshower,Light Rainshower,Light Rainshower,Light Rainshower,Light Rainshower,Light Snow,Light Snow,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,Light Rain,,,,,Light Rain,Light Snow,Light Snow,Light Snow,Light Snow,Snow,Snow,,Snow,Light Rain and Snow,Light Rain and Snow,,Light Snow and Blowing Snow,Cloudy,Cloudy,Cloudy,Cloudy,Light Rain,Light Rain,,Light Snow,Light Snow,Light Rain and Snow
currentConditions,"
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 "
dateTime,"
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 ","
 "
day,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
dewpoint,-16.1,-15.9,-16.8,-0.7,-1.0,-1.1,0.7,0.7,0.7,3.7,-1.1,,-12.8,-16.6,-12.8,2.5,-14.9,5.4,5.4,-2.4,-0.9,-19.2,-19.2,-19.2,3.3,3.3,3.3,3.3,1.9,3.3,2.6,-15.2,-15.2,2.5,1.6,1.6,1.6,1.6,1.6,4.5,4.5,4.5,4.5,4.5,3.5,3.5,-18.7,-17.3,-13.8,2.3,2.3,-13.0,-13.0,3.2,4.7,4.7,4.7,-15.5,,-0.9,6.9,-1.1,-1.1,-1.1,-0.9,2.6,2.6,5.0,5.8,4.3,4.2,4.2,0.6,,-17.8,-17.3,0.0,0.0,0.0,0.0,-18.2,-18.2,-14.9,3.3,3.3,3.0,2.9,2.8,2.8,3.1,4.0,4.0,-1.9,-16.8,-16.8,-0.9,-21.3,3.8,3.0,3.8,3.8,2.7,2.7,2.7,2.7,2.7,2.7,7.6,-16.6,-16.6,4.3,-13.8,-13.8,-16.9,-16.9,0.1,4.9,4.9,-20.2,-20.2,-20.2,1.2,1.2,1.2,1.2,1.2,-4.2,-4.2,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,0.3,0.3,0.3,0.3,6.6,-15.8,-15.8,-0.2,-0.2,-6.3,-6.3,-4.9,-6.3,0.2,0.2,4.0,-10.8,3.8,4.3,4.3,4.3,2.6,6.6,1.9,-14.9,-21.5,0.1
direction,ENE,,NE,ENE,ENE,NNE,SE,SE,SE,S,E,S,NNE,WNW,NNE,SSE,N,S,S,SSE,S,NE,NNE,NNE,S,S,S,S,S,S,E,NNE,NNE,SSE,SE,SE,SE,SE,SE,S,S,S,S,S,S,S,NE,NNE,N,SSE,SSE,N,N,SSE,SW,SW,SW,NE,,E,SSW,E,E,E,E,,,SSW,SSW,SE,S,S,ENE,,NNE,NNE,SE,SE,SE,SE,NNE,NNE,NE,SSW,SSW,S,SSE,S,S,SSE,SSE,SSE,NNE,NE,NE,E,NE,SSE,SSE,SSE,SSE,SE,SE,SE,SE,SE,SE,SSW,NW,NW,SE,N,N,NE,NE,ESE,S,S,NE,NE,NE,NNE,NNE,NNE,NNE,NNE,ENE,ENE,ESE,ESE,ESE,S,S,S,S,S,ESE,ESE,ESE,ESE,S,NE,NE,E,E,NNE,NNE,,NNE,ESE,ESE,SSE,NE,E,SE,SE,SE,SSE,S,S,NE,NNE,ESE
gust,56,40,55,,,,,,,,,,,,,,,40,40,,,48,33,33,30,30,30,30,,30,,30,30,,,,,,,,,,,,,,37,33,37,,,39,39,28,,,,27,,30,40,,,,,,,50,54,,,,,,,33,,,,,48,48,41,35,35,,,,,,,,,33,33,30,39,,35,,,33,33,33,33,33,33,48,,,,37,37,28,28,,34,34,,,,,,,,,35,35,,,,38,38,38,38,38,,,,,42,,,,,35,35,,35,,,,38,,,,,,42,,41,,
hour,07,07,07,07,07,07,07,07,07,07,07,07,06,06,06,07,06,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,06,07,07,07,07,07,07,07,07,07,07,06,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,06,07,07,07,07,07,07,07,07,07,07,07,07,07,06,07,07,07,07,07,07,07,07,07,07,07,06,06,07,07,07,06,06,07,07,07,06,06,06,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,06,06,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,06,06,07
