community_name,Latitude,Longitude,community_name,datehour_ec,datehour_my,condition,temp,dewpoint,windchill,pressure,visibility,humidity,windspeed,gust,direction,bearing,realTemp,temp_delta,dwellings,ceiling_w,window_w,noWindowWall_w,floor_w,total_w,total_w_per_dwelling
Brantford,43.1408157,-80.2631733,Brantford,2023-02-21 22:00:00,2023-02-21 17:00:00,,0.0,-6.7,-7.0,100.7,,61.0,36.0,45,W,266.8,-7.0,25.3,52726,421.24499999999995,853.875,1593.9,280.83000000000004,166078991.1,3149.85
Brockville,44.5895925,-75.6843332,Brockville,2023-02-21 22:00:00,2023-02-21 17:00:00,,-3.7,-5.8,0.0,100.1,,85.0,0.0,,,,-3.7,22.0,16709,366.29999999999995,742.5,1386.0,244.20000000000005,45765951.0,2739.0
Chatham-Kent,42.41833,-82.0898417,Chatham-Kent,2023-02-21 22:00:00,2023-02-21 17:00:00,Cloudy,0.0,-8.0,-6.0,101.0,16.1,55.0,26.0,,WNW,290.0,-6.0,24.3,42992,404.59499999999997,820.125,1530.9,269.73,130065847.2,3025.35
Cobourg,43.9595998,-78.1677784,Cobourg,2023-02-21 22:00:00,2023-02-21 17:00:00,,3.2,-4.0,0.0,100.3,,59.0,22.0,35,W,279.5,3.2,15.100000000000001,8047,251.415,509.62500000000006,951.3000000000001,167.61000000000004,15127957.650000002,1879.9500000000003
Collingwood,44.5027226,-80.2172379,Collingwood,2023-02-21 22:00:00,2023-02-21 17:00:00,,0.8,-5.8,0.0,100.4,,61.0,19.0,32,WNW,286.6,0.8,17.5,8339,291.375,590.625,1102.5,194.25000000000003,18168596.25,2178.75
Guelph,43.5460516,-80.2493276,Guelph,2023-02-21 22:00:00,2023-02-21 17:00:00,,-0.6,-6.0,-6.0,100.6,,67.0,18.0,28,W,263.8,-6.0,24.3,54868,404.59499999999997,820.125,1530.9,269.73,165994903.79999998,3025.35
Hamilton,43.2560802,-79.8728583,Hamilton,2023-02-21 22:00:00,2023-02-21 17:00:00,Mostly Cloudy,0.4,-7.2,0.0,100.7,24.1,57.0,23.0,37,W,261.0,0.4,17.900000000000002,282186,298.035,604.1250000000001,1127.7,198.69000000000005,628865610.3000001,2228.55
Kenora,54.0245941,-89.1618188,Kenora,2023-02-21 21:00:00,2023-02-21 16:00:00,Partly Cloudy,-14.9,-24.9,-22.0,101.4,32.2,42.0,13.0,,NNW,333.0,-22.0,40.3,6521,670.9949999999999,1360.125,2538.8999999999996,447.33000000000004,32718139.349999998,5017.349999999999
Kingston,44.230687,-76.481323,Kingston,2023-02-21 22:00:00,2023-02-21 17:00:00,Partly Cloudy,1.3,-1.0,0.0,100.2,19.3,85.0,17.0,,WSW,244.0,1.3,17.0,52413,283.04999999999995,573.75,1071.0,188.70000000000002,110932114.5,2116.5
London,42.983612,-81.249725,London,2023-02-21 22:00:00,2023-02-21 17:00:00,Mostly Cloudy,-0.7,-7.3,-6.0,100.8,24.1,61.0,22.0,40,W,278.0,-6.0,24.3,195056,404.59499999999997,820.125,1530.9,269.73,590112669.6,3025.35
North Bay,46.3092115,-79.4607617,North Bay,2023-02-21 22:00:00,2023-02-21 17:00:00,Light Snowshower,-6.7,-10.0,-15.0,100.1,11.3,77.0,26.0,39,WNW,303.0,-15.0,33.3,27305,554.4449999999999,1123.875,2097.8999999999996,369.63,113202434.24999999,4145.849999999999
Oshawa,43.8975558,-78.8635324,Oshawa,2023-02-21 22:12:00,2023-02-21 17:12:00,Cloudy,1.6,-5.2,0.0,100.5,16.1,61.0,32.0,45,W,270.0,1.6,16.7,129698,278.05499999999995,563.625,1052.1,185.37,269661596.6999999,2079.1499999999996
Ottawa,45.4528793,-75.483733885631,Ottawa,2023-02-21 22:00:00,2023-02-21 17:00:00,Mainly Sunny,-9.3,-11.7,0.0,100.2,24.1,83.0,0.0,,,,-9.3,27.6,371791,459.53999999999996,931.5,1738.8000000000002,306.36000000000007,1277548234.2,3436.2000000000003
